dataset,image_path,true_label,predicted_label,confidence_score
blur,../../data/failure_cases/blur/benign/Bengin case (110).jpg,benign,normal,0.754
blur,../../data/failure_cases/blur/benign/Bengin case (25).jpg,benign,malignant,0.978
blur,../../data/failure_cases/blur/benign/Bengin case (5).jpg,benign,malignant,0.7456
blur,../../data/failure_cases/blur/benign/Bengin case (55).jpg,benign,malignant,0.9596
blur,../../data/failure_cases/blur/benign/Bengin case (59).jpg,benign,malignant,0.7778
blur,../../data/failure_cases/blur/benign/Bengin case (60).jpg,benign,malignant,0.9981
blur,../../data/failure_cases/blur/benign/Bengin case (63).jpg,benign,malignant,0.8822
blur,../../data/failure_cases/blur/benign/Bengin case (66).jpg,benign,malignant,0.9174
blur,../../data/failure_cases/blur/benign/Bengin case (67).jpg,benign,malignant,0.8552
blur,../../data/failure_cases/blur/benign/Bengin case (70).jpg,benign,malignant,0.3643
blur,../../data/failure_cases/blur/benign/Bengin case (71).jpg,benign,malignant,0.7235
blur,../../data/failure_cases/blur/benign/Bengin case (72).jpg,benign,malignant,0.7235
blur,../../data/failure_cases/blur/benign/Bengin case (74).jpg,benign,malignant,0.8617
blur,../../data/failure_cases/blur/normal/Normal case (115).jpg,normal,malignant,0.9813
blur,../../data/failure_cases/blur/normal/Normal case (132).jpg,normal,malignant,0.9784
blur,../../data/failure_cases/blur/normal/Normal case (134).jpg,normal,malignant,0.4957
blur,../../data/failure_cases/blur/normal/Normal case (201).jpg,normal,malignant,0.8183
blur,../../data/failure_cases/blur/normal/Normal case (232).jpg,normal,malignant,0.7234
blur,../../data/failure_cases/blur/normal/Normal case (29).jpg,normal,malignant,0.8635
blur,../../data/failure_cases/blur/normal/Normal case (291).jpg,normal,malignant,0.9505
blur,../../data/failure_cases/blur/normal/Normal case (293).jpg,normal,malignant,0.8336
blur,../../data/failure_cases/blur/normal/Normal case (301).jpg,normal,malignant,0.6374
blur,../../data/failure_cases/blur/normal/Normal case (305).jpg,normal,malignant,0.9119
blur,../../data/failure_cases/blur/normal/Normal case (306).jpg,normal,malignant,0.9135
blur,../../data/failure_cases/blur/normal/Normal case (37).jpg,normal,malignant,0.5748
blur,../../data/failure_cases/blur/normal/Normal case (387).jpg,normal,malignant,0.8119
blur,../../data/failure_cases/blur/normal/Normal case (44).jpg,normal,malignant,0.523
blur,../../data/failure_cases/blur/normal/Normal case (88).jpg,normal,malignant,0.8282
blur,../../data/failure_cases/blur/normal/Normal case (91).jpg,normal,malignant,0.9809
noise,../../data/failure_cases/noise/benign/Bengin case (25).jpg,benign,malignant,0.4107
noise,../../data/failure_cases/noise/benign/Bengin case (49).jpg,benign,normal,0.4488
noise,../../data/failure_cases/noise/benign/Bengin case (55).jpg,benign,normal,0.7561
noise,../../data/failure_cases/noise/benign/Bengin case (59).jpg,benign,normal,0.8092
noise,../../data/failure_cases/noise/benign/Bengin case (66).jpg,benign,normal,0.6144
noise,../../data/failure_cases/noise/benign/Bengin case (70).jpg,benign,normal,0.5674
noise,../../data/failure_cases/noise/benign/Bengin case (71).jpg,benign,normal,0.7643
noise,../../data/failure_cases/noise/benign/Bengin case (72).jpg,benign,normal,0.6777
noise,../../data/failure_cases/noise/malignant/Malignant case (123).jpg,malignant,normal,0.5288
noise,../../data/failure_cases/noise/malignant/Malignant case (124).jpg,malignant,normal,0.6032
noise,../../data/failure_cases/noise/malignant/Malignant case (128).jpg,malignant,normal,0.4508
noise,../../data/failure_cases/noise/malignant/Malignant case (158).jpg,malignant,normal,0.6501
noise,../../data/failure_cases/noise/malignant/Malignant case (164).jpg,malignant,normal,0.61
noise,../../data/failure_cases/noise/malignant/Malignant case (165).jpg,malignant,normal,0.7463
noise,../../data/failure_cases/noise/malignant/Malignant case (172).jpg,malignant,normal,0.5892
noise,../../data/failure_cases/noise/malignant/Malignant case (173).jpg,malignant,normal,0.7504
noise,../../data/failure_cases/noise/malignant/Malignant case (174).jpg,malignant,normal,0.7262
noise,../../data/failure_cases/noise/malignant/Malignant case (179).jpg,malignant,normal,0.8142
noise,../../data/failure_cases/noise/malignant/Malignant case (220).jpg,malignant,benign,0.4995
noise,../../data/failure_cases/noise/malignant/Malignant case (341).jpg,malignant,normal,0.7019
noise,../../data/failure_cases/noise/malignant/Malignant case (356).jpg,malignant,normal,0.765
noise,../../data/failure_cases/noise/malignant/Malignant case (360).jpg,malignant,normal,0.6829
noise,../../data/failure_cases/noise/malignant/Malignant case (37).jpg,malignant,normal,0.7669
noise,../../data/failure_cases/noise/malignant/Malignant case (383).jpg,malignant,normal,0.5056
noise,../../data/failure_cases/noise/malignant/Malignant case (455).jpg,malignant,benign,0.683
noise,../../data/failure_cases/noise/malignant/Malignant case (46).jpg,malignant,normal,0.6803
noise,../../data/failure_cases/noise/malignant/Malignant case (463).jpg,malignant,normal,0.5437
noise,../../data/failure_cases/noise/normal/Normal case (115).jpg,normal,benign,0.391
noise,../../data/failure_cases/noise/normal/Normal case (293).jpg,normal,malignant,0.4014
noise,../../data/failure_cases/noise/normal/Normal case (78).jpg,normal,benign,0.5754
noise,../../data/failure_cases/noise/normal/Normal case (91).jpg,normal,benign,0.3896
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (25).jpg,benign,malignant,0.9665
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (49).jpg,benign,malignant,0.5365
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (55).jpg,benign,malignant,0.9615
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (59).jpg,benign,malignant,0.5009
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (60).jpg,benign,malignant,0.9924
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (63).jpg,benign,malignant,0.8188
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (66).jpg,benign,malignant,0.858
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (67).jpg,benign,malignant,0.8326
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (70).jpg,benign,normal,0.4246
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (71).jpg,benign,normal,0.4742
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (72).jpg,benign,normal,0.4742
low_quality,../../data/failure_cases/low_quality/benign/Bengin case (74).jpg,benign,malignant,0.7371
low_quality,../../data/failure_cases/low_quality/normal/Normal case (115).jpg,normal,malignant,0.9884
low_quality,../../data/failure_cases/low_quality/normal/Normal case (116).jpg,normal,malignant,0.7821
low_quality,../../data/failure_cases/low_quality/normal/Normal case (132).jpg,normal,malignant,0.9765
low_quality,../../data/failure_cases/low_quality/normal/Normal case (15).jpg,normal,malignant,0.6574
low_quality,../../data/failure_cases/low_quality/normal/Normal case (18).jpg,normal,malignant,0.7786
low_quality,../../data/failure_cases/low_quality/normal/Normal case (201).jpg,normal,malignant,0.8538
low_quality,../../data/failure_cases/low_quality/normal/Normal case (21).jpg,normal,malignant,0.5524
low_quality,../../data/failure_cases/low_quality/normal/Normal case (29).jpg,normal,malignant,0.6945
low_quality,../../data/failure_cases/low_quality/normal/Normal case (291).jpg,normal,malignant,0.8799
low_quality,../../data/failure_cases/low_quality/normal/Normal case (293).jpg,normal,malignant,0.6734
low_quality,../../data/failure_cases/low_quality/normal/Normal case (305).jpg,normal,malignant,0.8331
low_quality,../../data/failure_cases/low_quality/normal/Normal case (306).jpg,normal,malignant,0.7065
low_quality,../../data/failure_cases/low_quality/normal/Normal case (379).jpg,normal,malignant,0.5234
low_quality,../../data/failure_cases/low_quality/normal/Normal case (91).jpg,normal,malignant,0.8104
contrast_mismatch,../../data/failure_cases/contrast_mismatch/benign/Bengin case (25).jpg,benign,normal,0.7778
contrast_mismatch,../../data/failure_cases/contrast_mismatch/benign/Bengin case (55).jpg,benign,normal,0.7436
